Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Trend,20D Avg Vol,52W %/High,20D MA,50D MA,100D MA,Market Cap
AA,Alcoa Corp,NYSE,87.71,Metal Products - Distribution,,4/5/2022,Buy,7050440,-10.58%,86.17,77.44,65.63,16761596000
ABBV,Abbvie Inc,NYSE,163.43,Large Cap Pharma,,4/5/2022,Buy,6397445,-1.52%,158.35,149.37,138.26,2.85944E+11
ABC,Amerisourcebergen Corp,NYSE,155.76,Medical - Dental Suppliers,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists",4/5/2022,Buy,1074730,-1.27%,151.98,144.82,135.79,32363950000
ABEV,Ambev S.A. ADR,NYSE,3.2,Beverages - Alcohol,,4/5/2022,Buy,21211346,-18.99%,2.93,2.86,2.84,51617872000
ABTX,Allegiance Banc CS,NASDAQ,43.35,Banks - Southeast,SIC-6022 State Commercial Banks,4/5/2022,Buy,103110,-5.76%,44.53,43.62,43.12,890649000
ACAD,Acadia Pharmaceutica,NASDAQ,25.75,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,Buy,1565890,-7.41%,24.97,24.8,23.35,4226769000
ACET,Adicet Bio Inc,NASDAQ,19.22,Medical - Biomedical,,4/5/2022,Buy,532500,-9.21%,16.66,14.6,13.95,789564000
ACGL,Arch Capital Grp Ltd,NASDAQ,47.49,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,Buy,1937875,-3.38%,47.02,46.79,45.29,17845298000
ACHC,Acadia Healthcr Company,NASDAQ,67.02,Medical - Hospitals,,4/5/2022,Buy,607990,-2.37%,65.6,59.12,58.86,5970850000
ACM,Aecom Technology Corp,NYSE,75.34,Engineering & R&D Services,,4/5/2022,Buy,837850,-5.79%,77.17,73.47,73.46,10726520000
ACT,Enact Holdings Inc,NASDAQ,21.85,Insurance - Multi Line,,4/5/2022,Buy,93920,-8.96%,21.94,21.56,21.46,3577617000
ADM,Archer Daniels Midland,NYSE,90.9,Agriculture Operations,,4/5/2022,Buy,4594370,-2.78%,87.21,81.09,73.8,50864796000
AEE,Ameren Corp,NYSE,94.94,Utility - Electric Power,,4/5/2022,Buy,1377735,-0.92%,90.27,87.93,87.31,24326662000
AEM,Agnico-Eagle Mines Ltd,NYSE,62.75,Mining - Gold,SIC-1040 Gold and Silver Ores,4/5/2022,Buy,3717350,-15.77%,61.47,55.42,53.53,15564700000
AEP,American Electric Power Company,NASDAQ,101.31,Utility - Electric Power,,4/5/2022,Buy,2950515,-1.35%,96.98,92.38,89.3,50782656000
AFG,American Financial Group,NYSE,144.29,Insurance - Proprty & Casualty,,4/5/2022,Buy,329555,-4.44%,143.36,137.59,137.26,12216618000
AFL,Aflac Inc,NYSE,63.77,Insurance - Accident & Health,,4/5/2022,Buy,2359835,-4.78%,63.26,62.89,60.59,41337660000
AGCO,Agco Corp,NYSE,139.99,Machinery - Farm,,4/5/2022,Buy,995750,-11.74%,137.77,128.56,123.66,10666960000
AGI,Alamos Gold Inc,NYSE,8.5,Mining - Gold,,4/5/2022,Buy,3709775,-9.33%,8.38,7.69,7.61,3405524000
AGRO,Adecoagro S.A.,NYSE,11.47,Agriculture Operations,,4/5/2022,Buy,2207285,-9.47%,11.7,9.89,8.88,1378149000
AIG,American International Group,NYSE,62.45,Insurance - Multi Line,,4/5/2022,Buy,4249060,-3.78%,61.29,60.4,58.63,50422752000
AIR,AAR Corp,NYSE,47.08,Aerospace - Defense Equipment,,4/5/2022,Buy,447990,-8.15%,47.09,44.09,40.95,1694383000
AIZ,Assurant Inc,NYSE,181.87,Insurance - Multi Line,,4/5/2022,Buy,391855,-2.00%,178.07,167.75,161.54,10491315000
ALBO,Albireo Pharma Inc,NASDAQ,32.73,Medical - Biomedical,,4/5/2022,Buy,314145,-13.55%,30.9,30.49,27.48,627135000
ALKS,Alkermes Plc,NASDAQ,28.57,Medical - Biomedical,,4/5/2022,Buy,1389485,-13.42%,26.28,25.09,24.24,4650130000
ALL,Allstate Corp,NYSE,137.24,Insurance - Proprty & Casualty,,4/5/2022,Buy,2135895,-3.23%,133.74,127.26,121.46,38158452000
ALTO,Alto Ingredients Inc,NASDAQ,6.56,Consumer Prdts - Misc Discr,SIC-2860 Industrial Organic Chemicals,4/5/2022,Buy,3358695,-9.77%,6.27,5.8,5.44,509453000
ALTU,Altitude Acquisition Corp Cl A,NASDAQ,9.95,Unclassified,SIC-6770 Blank Checks,4/5/2022,Buy,93140,-2.93%,9.94,9.92,9.9,373125000
AM,Antero Midstream Corp,NYSE,10.77,Oil - US Integrated,SIC-4922 Natural Gas Transmission,4/5/2022,Buy,3831215,-8.03%,10.56,10.18,10.07,5238219000
AMAL,Amalgamated Financial Corp,NASDAQ,17.99,Finance - SBIC & Commercial,,4/5/2022,Buy,48800,-10.01%,17.7,17.2,17.14,548246000
AMGN,Amgen Inc,NASDAQ,244.56,Medical - Biomedical,,4/5/2022,Buy,2945310,-6.30%,236.67,230.74,224.11,1.37927E+11
AMPH,Amphastar Pharma,NASDAQ,36.82,Medical - Generic Drugs,,4/5/2022,Buy,486130,-5.63%,35.12,30.03,26.19,1812998000
AMRK,A-Mark Precious Meta,NASDAQ,77,Precious Metals & Jewelry,,4/5/2022,Buy,133245,-7.72%,76.51,71.84,67.39,904884000
ANDE,Andersons Inc,NASDAQ,49.47,Agriculture Products,,4/5/2022,Buy,460310,-10.67%,47.92,43.54,40.36,1684445000
ANTM,Anthem Inc,NYSE,494.78,Medical - HMO,,4/5/2022,Buy,1305810,-2.21%,478.7,461.71,449.32,1.23932E+11
AON,AON Plc,NYSE,325.97,Insurance - Brokers,,4/5/2022,Buy,1341765,-1.79%,315.08,295.92,293.98,71989072000
APA,Apa Corp,NASDAQ,41.69,Oil - US Exploration & Product,,4/5/2022,Buy,8653510,-4.99%,40.11,36.57,32.25,14904432000
APLS,Apellis Pharmaceuticals Inc,NASDAQ,59.21,Medical - Biomedical,,4/5/2022,Buy,1659235,-18.89%,49.41,45.64,44.62,6189173000
APOG,Apogee Entrpr Inc,NASDAQ,46.93,Glass Products,,4/5/2022,Buy,216330,-6.97%,48.08,46.28,46.26,1206698000
APSG,Apollo Strategic Growth Capital Cl A,NYSE,9.95,Transportation - Services,SIC-4700 Transportation Services,4/5/2022,Buy,612705,-0.70%,9.92,9.9,9.89,1014884000
APTS,Preferred Apartment Communities,NYSE,24.94,REIT - Equity Trust Resident,,4/5/2022,Buy,2631495,-3.33%,24.99,23.03,19.33,1390031000
AQN,Algonquin Pwr & Util,NYSE,15.73,Utility - Electric Power,,4/5/2022,Buy,1915455,-5.18%,15.26,14.61,14.32,10543045000
AR,Antero Resources Corp,NYSE,30.42,Oil - US Exploration & Product,,4/5/2022,Buy,7736515,-5.98%,28.23,24.11,21.11,9756944000
ARCO,Arcos Dorados Holdings Inc,NYSE,7.82,Retail - Restaurants,SIC-5812 Retail-Eating Places,4/5/2022,Buy,969535,-7.35%,7.81,7.34,6.36,1702556000
ARIS,Aris Water Solutions Inc Cl A,NYSE,17.27,Waste Removal Svcs,N/A,4/5/2022,Buy,182010,-10.05%,18,15.23,14.12,968437000
ARLP,Alliance Resource Pt,NASDAQ,15.55,Coal,,4/5/2022,Buy,658960,-4.89%,15.06,14.26,13.04,1929548000
AROC,Archrock Inc,NYSE,9.16,Oil - Field Services,,4/5/2022,Buy,1444715,-8.76%,9.07,8.71,8.26,1492395000
ARTNA,Artesian Res Cp A,NASDAQ,48.15,Utility - Water Supply,,4/5/2022,Buy,31610,-5.37%,47.79,47.39,45.81,455829000
ASAI,Sendas Distribuidora S.A. ADR,NYSE,17.27,Consumer Prdts - Misc Discr,,4/5/2022,Buy,175610,-6.90%,15.24,13.47,12.72,4749222000
ATCX,Atlas Technical Consultants Inc,NASDAQ,12.51,Engineering & R&D Services,SIC-8742 Services-Management Consulting Services,4/5/2022,Buy,142220,-18.77%,12.23,11.21,10,488814000
ATI,Allegheny Technologies Inc,NYSE,27.72,Steel - Specialty,,4/5/2022,Buy,2138120,-2.57%,26.87,24.7,20.65,3549427000
ATO,Atmos Energy Corp,NYSE,120.23,Utility - Gas Distribution,,4/5/2022,Buy,1005010,-1.01%,116.16,111.09,105.23,16140786000
ATRS,Antares Pharma,NASDAQ,4.03,Medical - Dental Suppliers,,4/5/2022,Buy,947305,-12.96%,3.97,3.7,3.56,670218000
AU,Anglogold Ashanti Ltd ADR,NYSE,23.48,Mining - Gold,,4/5/2022,Buy,3997295,-12.91%,24.06,22.4,21.28,10053424000
AURA,Aura Biosciences Inc,NASDAQ,21.25,Medical - Biomedical,N/A,4/5/2022,Buy,33480,-18.77%,21.24,19.63,18.81,628457000
AUY,Yamana Gold,NYSE,5.69,Mining - Gold,SIC-1040 Gold and Silver Ores,4/5/2022,Buy,18829965,-6.41%,5.55,4.97,4.54,5711048000
AVA,Avista Corp,NYSE,45.91,Utility - Electric Power,,4/5/2022,Buy,460510,-4.57%,44.97,44.41,42.82,3280405000
AVD,American Vanguard Corp,NYSE,20.24,Chemical - Specialty,,4/5/2022,Buy,330400,-5.02%,19.2,16.71,16.2,646441000
AXS,Axis Capital Holdings,NYSE,58.67,Insurance - Proprty & Casualty,,4/5/2022,Buy,615960,-4.43%,56.36,55.93,54.6,5005014000
AZN,Astrazeneca Plc ADR,NASDAQ,67.05,Large Cap Pharma,,4/5/2022,Buy,7000940,-1.59%,64.01,60.89,59.02,2.066E+11
BANF,Bancfirst Corp,NASDAQ,83.05,Banks - Southwest,,4/5/2022,Buy,149765,-2.09%,81.86,78.81,74.18,2725994000
BCBP,Bcb Bancorp Inc,NASDAQ,17.89,Banks - Northeast,,4/5/2022,Buy,51465,-6.85%,18.1,17.99,16.69,308957000
BCE,BCE Inc,NYSE,57.11,Diversified Comm Services,,4/5/2022,Buy,1537300,-0.73%,54.52,53.46,52.49,51046752000
BCH,Banco DE Chile ADR,NYSE,21.42,Banks - Foreign,,4/5/2022,Buy,114700,-13.91%,21.46,20.98,19.49,10945191000
BCOR,Blucora Inc,NASDAQ,19.43,Technology Services,,4/5/2022,Buy,467755,-5.68%,19.32,18.57,17.85,960638000
BEP,Brookfield Renewable,NYSE,39.25,Utility - Electric Power,,4/5/2022,Buy,354860,-10.75%,40.45,36.79,35.93,11044704000
BEPC,Brookfield Renewable Corp,NYSE,41.84,Other Alt Energy,,4/5/2022,Buy,697135,-14.10%,42.59,38.1,37,7376569000
BG,Bunge Ltd,NYSE,111.89,Agriculture Products,,4/5/2022,Buy,1749020,-4.73%,109.99,104.87,98.46,15810518000
BHP,Bhp Billiton Ltd ADR,NYSE,77.18,Mining - Misc,,4/5/2022,Buy,4515610,-5.96%,72.53,69.73,64.44,1.1621E+11
