Symbol,Name,Exchange,Last,Industry,SIC Description,Time,20D Rel Str,5D Avg Vol
ABBV,Abbvie Inc,NYSE,163.43,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,72.05%,6620300
ADP,Automatic Data Procs,NASDAQ,238,Outsourcing,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,71.72%,2270440
AEP,American Electric Power Company,NASDAQ,101.31,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,70.07%,2644000
AQN,Algonquin Pwr & Util,NYSE,15.73,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,70.90%,1959540
AR,Antero Resources Corp,NYSE,30.42,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,70.19%,5946360
ASAI,Sendas Distribuidora S.A. ADR,NYSE,17.27,Consumer Prdts - Misc Discr,SIC-5411 Retail-Grocery Stores,4/5/2022,72.52%,160300
AXSM,Axsome Thera,NASDAQ,46.75,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,73.19%,811660
BEEM,Beam Global,NASDAQ,25.37,Auto - Truck Original Parts,SIC-3674 Semiconductors & Related Devices,4/5/2022,73.90%,453440
BIP,Brookfield Infrastructure Partners LP,NYSE,67.92,Utility - Electric Power,SIC-4400 Water Transportation,4/5/2022,74.97%,304680
BMY,Bristol-Myers Squibb Company,NYSE,74.43,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,74.01%,13517020
CAAP,Corporacion America Airports Sa,NYSE,6.19,Transportation - Airline,"SIC-4581 Airports, Flying Fields & Airport Terminal S",4/5/2022,72.29%,115180
CALM,Cal-Maine Foods IN,NASDAQ,57.37,Agriculture Products,SIC-0200 Agricultural Production - Livestock,4/5/2022,75.64%,1437680
CBD,Companhia Brasileira DE Distribuicao ADR,NYSE,5.49,Retail - Supermarket,SIC-5411 Retail-Grocery Stores,4/5/2022,70.57%,922360
CHNG,Change Healthcare Inc,NASDAQ,23.73,Medical Information Systems,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,73.82%,5060420
CLF,Cleveland-Cliffs Inc,NYSE,32.54,Mining - Misc,SIC-1000 Metal Mining,4/5/2022,71.80%,16578480
CRK,Comstock Resources,NYSE,13.97,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,74.16%,3411720
CUTR,Cutera Inc,NASDAQ,71.74,Lasers - Systems & Components,SIC-3845 Electromedical & Electrotherapeutic Apparatu,4/5/2022,82.41%,526380
ECOL,US Ecology Inc,NASDAQ,47.9,Waste Removal Svcs,SIC-4953 Refuse Systems,4/5/2022,73.32%,849560
ED,Consolidated Edison Company of New York,NYSE,96.15,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,70.91%,1754320
ENLV,Enlivex Therapeutics Ltd,NASDAQ,7.35,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,73.76%,97920
EQT,Eqt Corp,NYSE,36.23,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,78.67%,8320580
EXC,Exelon Corp,NASDAQ,47.8,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,75.66%,7874180
EXLS,Exlservice Holdings,NASDAQ,149.19,Outsourcing,"SIC-7389 Services-Business Services, NEC",4/5/2022,70.84%,324900
FE,Firstenergy Corp,NYSE,46.64,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,70.05%,4106000
FTS,Fortis Inc,NYSE,50.75,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,74.50%,517600
FULC,Fulcrum Therapeutics Inc,NASDAQ,23.87,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,78.44%,851660
GBIO,Generation Bio CO,NASDAQ,8.87,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,71.74%,438080
GLNG,Golar Lng Ltd,NASDAQ,24.73,Transportation - Ship,SIC-4400 Water Transportation,4/5/2022,73.59%,2071900
HCKT,Hackett Grp Inc,NASDAQ,23.66,Consulting,SIC-8742 Services-Management Consulting Services,4/5/2022,71.92%,127700
HLXA,Helix Acquisition Corp Cl A,NASDAQ,13.25,Unclassified,N/A,4/5/2022,76.58%,179800
HQY,Healthequity,NASDAQ,67.21,Medical Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,72.98%,781480
IIN,Intricon Corp,NASDAQ,23.99,Electronics - Misc Components,SIC-3670 Electronic Components & Accessories,4/5/2022,74.29%,68440
IMCR,Immunocore Holdings Plc ADR,NASDAQ,35.12,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/5/2022,72.86%,227880
IMTE,Integrated Media Technology,NASDAQ,26.12,Technology Services,SIC-3651 Household Audio & Video Equipment,4/5/2022,70.20%,1627020
INCY,Incyte Corp,NASDAQ,80.7,Medical - Biomedical,SIC-8731 Services-Commercial Physical & Biological Re,4/5/2022,70.55%,1364960
IVT,Inventrust Pptys Corp,NYSE,31.29,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,70.60%,316240
JKHY,Jack Henry & Assoc,NASDAQ,203.75,Electronic Misc Services,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,74.17%,484980
KT,Korea Telecom Corp ADR,NYSE,15.16,Wireless Non-US,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,71.94%,2180820
LGHL,Lion Group Holding Ltd ADR,NASDAQ,1.835,Finance - Misc Services,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/5/2022,71.00%,375960
LOCL,Local Bounti Corp,NYSE,8.96,Agriculture Operations,SIC-0100 Agricultural Production - Crops,4/5/2022,70.95%,225700
MCK,Mckesson Corp,NYSE,307,Medical - Dental Suppliers,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists",4/5/2022,71.07%,1223320
MMI,Marcus & Millichap,NYSE,56.83,Real Estate Developers,SIC-6531 Real Estate Agents & Managers (For Others),4/5/2022,70.95%,281540
NFE,New Fortress Energy Llc,NASDAQ,45.11,Oil - International Integrated,SIC-4924 Natural Gas Distribution,4/5/2022,71.26%,2832360
NLSN,Nielsen Holdings Plc,NYSE,27.35,Business Information,"SIC-7389 Services-Business Services, NEC",4/5/2022,72.18%,15848620
NRGV,Energy Vault Hldgs Inc,NYSE,21.64,Other Alt Energy,"SIC-3690 Miscellaneous Electrical Machinery, Equipmen",4/5/2022,76.59%,1679620
NUTX,Nutex Health Inc,NASDAQ,26.64,N/A,N/A,4/5/2022,70.51%,444220
OGE,Oge Energy Corp,NYSE,41.29,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,70.01%,1483520
OWLT,Owlet Inc,NYSE,4.65,Technology Services,"SIC-3829 Measuring & Controlling Devices, NEC",4/5/2022,74.49%,187060
PDS,Precision Drilling Corp,NYSE,77.43,Oil & Gas - Drilling,SIC-1381 Drilling Oil & Gas Wells,4/5/2022,71.81%,75520
RAIL,Freightcar America,NASDAQ,6.54,Transportation - Equip & Lease,SIC-3743 Railroad Equipment,4/5/2022,70.73%,269940
RCI,Rogers Communication,NYSE,57.19,Cable TV,SIC-4841 Cable & Other Pay Television Services,4/5/2022,72.62%,292240
RCMT,R C M Tech Inc,NASDAQ,11.77,Staffing,SIC-7363 Services-Help Supply Services,4/5/2022,71.96%,297740
RLMD,Relmada Therapeutics Inc,NASDAQ,29.82,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,77.07%,330480
RNDB,Randolph Bancorp Inc,NASDAQ,26.38,Banks - Northeast,SIC-6022 State Commercial Banks,4/5/2022,71.01%,130420
SBS,Cia DE Saneamento Basico Do Estado ADR,NYSE,10.96,Utility - Water Supply,SIC-4941 Water Supply,4/5/2022,77.89%,6270540
SGLY,Singularity Future Technology Ltd,NASDAQ,17,Technology Services,SIC-4731 Arrangement of Transportation of Freight & C,4/5/2022,75.58%,1413780
SHAP,Spree Acquisition Corp 1 Limited Cl A,NYSE,9.93,Unclassified,N/A,4/5/2022,70.44%,68460
SMHI,Seacor Marine Holdings Inc,NYSE,7.93,Transportation - Ship,SIC-4412 Deep Sea Foreign Transportation of Freight,4/5/2022,71.96%,150380
SST,System1 Inc,NYSE,20.31,Advertising Marketing Services,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,72.47%,7375640
SWN,Southwestern Energy Company,NYSE,7.54,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,75.97%,34243781
TBCP,Thunder Bridge Capital Partners III Inc Cl A,NASDAQ,9.85,Unclassified,SIC-6770 Blank Checks,4/5/2022,72.18%,74540
TEVA,Teva Pharmaceutical Industries Ltd ADR,NYSE,9.97,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,72.03%,13266740
THCA,Tuscan Holdings Corp II,NASDAQ,12.71,Unclassified,SIC-6770 Blank Checks,4/5/2022,90.11%,2216060
TLMD,Telemed Inc,NASDAQ,3,Medical Information Systems,"SIC-8090 Services-Misc Health & Allied Services, NEC",4/5/2022,74.13%,489960
TRQ,Turquoise Hill Resources Ltd,NYSE,30.2,Mining - Misc,SIC-1000 Metal Mining,4/5/2022,75.38%,802680
TVTY,Tivity Health,NASDAQ,32.17,Medical Services,"SIC-8090 Services-Misc Health & Allied Services, NEC",4/5/2022,71.76%,1883660
TWTR,Twitter Inc,NYSE,50.98,Internet - Software,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,75.07%,105575477
VIRX,Viracta Therapeutics Inc,NASDAQ,4.93,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,73.51%,228040
VIV,Telecomunicacoes DE Sao Paulo ADR,NYSE,11.69,Diversified Comm Services,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,80.55%,4453000
VNE,Veoneer Inc,NYSE,36.95,Auto - Truck Original Parts,N/A,3/31/2022,70.26%,3369640
VRTX,Vertex Pharmaceutic,NASDAQ,269.96,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,73.80%,1815920
VWTR,Vidler Water Resources Inc,NASDAQ,16.35,Utility - Water Supply,SIC-6500 Real Estate,4/5/2022,80.49%,214100
Y,Alleghany Corp,NYSE,853,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,71.88%,163840
