Symbol,Name,Exchange,Last,Industry,SIC Description,Time,20D MA,50D MA,50D Avg Vol,52W %/High,20D Avg Vol,Prev Vol
AAC,Ares Acquisition Corp Cl A,NYSE,9.82,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.78,9.76,334492,-1.80%,385395,18800
AAPL,Apple Inc,NASDAQ,175.06,Computer - Mini,SIC-3571 Electronic Computers,4/5/2022,167.7,167.61,93607203,-4.31%,92915813,76545906
ABC,Amerisourcebergen Corp,NYSE,155.76,Medical - Dental Suppliers,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists",4/5/2022,151.98,144.82,1186084,-1.27%,1074730,994200
ACC,American Campus Communities Inc,NYSE,55.79,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,55.36,53.31,878396,-3.53%,675815,456100
ACGL,Arch Capital Grp Ltd,NASDAQ,47.49,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,47.02,46.79,1949040,-3.38%,1937875,1684800
ADM,Archer Daniels Midland,NYSE,90.9,Agriculture Operations,SIC-2070 Fats & Oils,4/5/2022,87.21,81.09,4106424,-2.78%,4594370,2826900
ADP,Automatic Data Procs,NASDAQ,238,Outsourcing,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,218.53,209.97,2139000,-4.40%,2072285,1962600
AEE,Ameren Corp,NYSE,94.94,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,90.27,87.93,1348216,-0.92%,1377735,1019400
AEP,American Electric Power Company,NASDAQ,101.31,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,96.98,92.38,3404622,-1.35%,2950515,2580800
AFG,American Financial Group,NYSE,144.29,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,143.36,137.59,335176,-4.44%,329555,329400
AFL,Aflac Inc,NYSE,63.77,Insurance - Accident & Health,SIC-6321 Accident & Health Insurance,4/5/2022,63.26,62.89,3095404,-4.78%,2359835,1882600
AIG,American International Group,NYSE,62.45,Insurance - Multi Line,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,61.29,60.4,5071076,-3.78%,4249060,2960700
AIRC,Apartment Income REIT Corp,NYSE,53.21,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,53.09,52.52,836858,-4.18%,884250,445600
AJG,Arthur J. Gallagher & Company,NYSE,174.87,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service",4/5/2022,166.12,159.83,1011116,-1.42%,928145,715700
AKAM,Akamai Technologies,NASDAQ,120.41,Internet - Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,115.86,112.23,1674070,-1.31%,1482615,1086000
ALL,Allstate Corp,NYSE,137.24,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,133.74,127.26,2518476,-3.23%,2135895,1815800
AMX,America Movil S.A.B. DE C.V. ADR,NYSE,21.39,Wireless Non-US,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,20.22,19.17,3577514,-2.44%,3484290,1404700
ANTM,Anthem Inc,NYSE,494.78,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/5/2022,478.7,461.71,1265528,-2.21%,1305810,1065800
AON,AON Plc,NYSE,325.97,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service",4/5/2022,315.08,295.92,1329828,-1.79%,1341765,730400
APA,Apa Corp,NASDAQ,41.69,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,40.11,36.57,9854936,-4.99%,8653510,6946800
APSG,Apollo Strategic Growth Capital Cl A,NYSE,9.95,Transportation - Services,SIC-4700 Transportation Services,4/5/2022,9.92,9.9,426030,-0.70%,612705,296000
