Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
AAME,Atlantic Amer Cp,NASDAQ,3.4,Insurance - Accident & Health,SIC-6311 Life Insurance,4/5/2022,3.22,3.2,2.73,15800,10580,37300,10800
ABEO,Abeona Therapeutics,NASDAQ,0.3411,Medical - Biomedical,N/A,4/5/2022,0.329,0.3229,0.3,4155620,2200865,7084600,1600500
ACHC,Acadia Healthcr Company,NASDAQ,67.02,Medical - Hospitals,"SIC-8093 Services-Specialty Outpatient Facilities, NE",4/5/2022,66.39,66.35,65.6,856000,607990,902500,673700
ACQR,Independence Holdings Corp Cl A,NASDAQ,9.79,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.78,9.78,9.77,184840,164065,175300,110200
ACTD,Arclight Clean Transition Corp II Cl A,NASDAQ,9.94,Unclassified,SIC-4932 Gas & Other Services Combined,4/5/2022,9.92,9.92,9.9,262560,122160,227800,23700
ADC,Agree Realty Corp,NYSE,66.82,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts,4/5/2022,66.66,66.47,64.99,978000,750620,582400,463500
ADP,Automatic Data Procs,NASDAQ,238,Outsourcing,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,235.18,232.4,218.53,2270440,2072285,2519300,1962600
ADTX,Aditxt Inc,NASDAQ,0.465,Medical - Drugs,N/A,4/5/2022,0.4455,0.4468,0.4244,1262220,1177835,3312300,269900
AEE,Ameren Corp,NYSE,94.94,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,94.39,94.34,90.27,1388060,1377735,1409100,1019400
AENZ,Aenza S.A.A. ADR,NYSE,1.86,Building & Construction - Misc,SIC-1600 Heavy Construction Other Than Bldg Const - C,4/5/2022,1.76,1.736,1.7011,8140,5425,25000,5000
AFG,American Financial Group,NYSE,144.29,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,143.84,145.94,143.36,336200,329555,428600,329400
AFI,Armstrong Flooring Inc,NYSE,1.7,Building Products - Wood,"SIC-3089 Plastics Products, NEC",4/5/2022,1.65,1.548,1.527,325480,275470,593900,378100
AGTI,Agiliti Inc,NYSE,21.8,Medical Services,SIC-7350 Services-Miscellaneous Equipment Rental & Le,4/5/2022,21.54,21.37,19.48,236740,192115,146000,124300
