Symbol,Name,Exchange,Last,Industry,SIC Description,Time
BRK.A,Berkshire Hathaway Cl A,NYSE,499000,Insurance - Proprty & Casualty,N/A,4/28/2022
NVR,NVR Inc,NYSE,4492.8101,Building - Residential & Comm,SIC-1531 Operative Builders,4/28/2022
AMZN,Amazon.com Inc,NASDAQ,2891.93,Internet Commerce,SIC-5961 Retail-Catalog & Mail-Order Houses,4/28/2022
GOOG,Alphabet Cl C,NASDAQ,2388.23,Internet - Services,"SIC-7370 Services-Computer Programming, Data Processi",4/28/2022
GOOGL,Alphabet Cl A,NASDAQ,2370.45,Internet - Services,"SIC-7370 Services-Computer Programming, Data Processi",4/28/2022
BKNG,Booking Holdings Inc,NASDAQ,2317.8,Internet Commerce,SIC-4700 Transportation Services,4/28/2022
AZO,Autozone,NYSE,2014.4399,Retail - Wholesale Auto Parts,SIC-5531 Retail-Auto & Home Supply Stores,4/28/2022
CMG,Chipotle Mexican Grill,NYSE,1500.8199,Retail - Restaurants,SIC-5812 Retail-Eating Places,4/28/2022
MKL,Markel Corp,NYSE,1397.83,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/28/2022
TPL,Texas Pacific Land Trust,NYSE,1375.98,Other Alt Energy,SIC-6792 Oil Royalty Traders,4/28/2022
MTD,Mettler-Toledo International,NYSE,1293.51,Industrial Scientific,SIC-3826 Laboratory Analytical Instruments,4/28/2022
CABO,Cable One Inc,NYSE,1252.39,Cable TV,SIC-4841 Cable & Other Pay Television Services,4/28/2022
WTM,White Mountains Insurance Group,NYSE,1071.9301,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/28/2022
MELI,Mercadolibre Inc,NASDAQ,1040,Internet Commerce,"SIC-7389 Services-Business Services, NEC",4/28/2022
TSLA,Tesla Inc,NASDAQ,877.51,Auto - Domestic,SIC-3711 Motor Vehicles & Passenger Car Bodies,4/28/2022
Y,Alleghany Corp,NYSE,841.69,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/28/2022
EQIX,Equinix Inc,NASDAQ,756.45,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts,4/28/2022
BH.A,Biglari Holdings Inc Cl A,NYSE,697.5,Retail - Restaurants,N/A,4/26/2022
REGN,Regeneron Pharmaceuticals,NASDAQ,675.58,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/28/2022
FCNCA,First Citizens Bancs,NASDAQ,664.66,Banks - Southeast,SIC-6022 State Commercial Banks,4/28/2022
ATRI,Atrion Corp,NASDAQ,652.9,Medical - Dental Suppliers,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
ORLY,O'Reilly Automotive,NASDAQ,623.28,Retail - Wholesale Auto Parts,SIC-5531 Retail-Auto & Home Supply Stores,4/28/2022
TDG,Transdigm Group Inc,NYSE,618.83,Aerospace - Defense Equipment,"SIC-3728 Aircraft Parts & Auxiliary Equipment, NEC",4/28/2022
GHC,Graham Holdings Company,NYSE,606.28,Schools,SIC-8200 Services-Educational Services,4/28/2022
ASML,Asml Holdings NY Reg ADR,NASDAQ,590.54,Semi-Eqpt Wafer Fabrication,"SIC-3559 Special Industry Machinery, NEC",4/28/2022
PANW,Palo Alto Networks Inc,NASDAQ,588.74,Security,"SIC-3577 Computer Peripheral Equipment, NEC",4/28/2022
AVGO,Broadcom Ltd,NASDAQ,578.94,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices,4/28/2022
COST,Costco Wholesale,NASDAQ,562,Retail - Discount,SIC-5331 Retail-Variety Stores,4/28/2022
TMO,Thermo Fisher Scientific Inc,NYSE,558.89,Medical Instruments,"SIC-3829 Measuring & Controlling Devices, NEC",4/28/2022
UHAL,A M E R C O,NASDAQ,546.68,Transportation - Equip & Lease,SIC-7510 Services-Auto Rental & Leasing (No Drivers),4/28/2022
