Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"Sales %(q)","Sales %(a)","Cash Flow %(q)","Cash Flow %(q-1)","Shareholders Equity %(a)","Wtd Alpha"
ADM,"Archer Daniels Midland",NYSE,91.75,"Agriculture Operations","SIC-2070 Fats & Oils","11:35 ET",+13.52%,+32.47%,+12.68%,+94.65%,+12.42%,+55.99
AMR,"Alpha Metallurgical Resources Inc",NYSE,152.98,"Mining - Misc","SIC-1221 Bituminous Coal & Lignite Mining","11:34 ET",+27.65%,+59.48%,+147.90%,+377.29%,+173.32%,+919.98
ANET,"Arista Networks Inc",NYSE,118.59,"Communications Components","SIC-3576 Computer Communications Equipment","11:34 ET",+10.12%,+27.21%,+28.49%,+52.62%,+19.83%,+26.05
ARCH,"Arch Resources Inc",NYSE,174.12,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:34 ET",+35.55%,+50.45%,+160.19%,+250.75%,+141.17%,+204.38
ARLP,"Alliance Resource Pt",NASDAQ,18.08,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",+13.97%,+18.21%,+36.73%,+96.55%,+14.34%,+211.85
ASR,"Grupo Aeroportuario Del Sureste ADR",NYSE,216.25,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","11:33 ET",+35.07%,+56.41%,+179.53%,-4.36%,+15.40%,+22.03
ATO,"Atmos Energy Corp",NYSE,116.43,"Utility - Gas Distribution","SIC-4924 Natural Gas Distribution","11:32 ET",+78.19%,+20.78%,+105.70%,+6.41%,+16.43%,+18.18
AZN,"Astrazeneca Plc ADR",NASDAQ,65.9,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","11:35 ET",+21.74%,+40.58%,+31.20%,+60.83%,+151.23%,+23.31
BBW,"Build-A-Bear Workshop",NYSE,18.54,"Retail - Misc & Diversified","SIC-5945 Retail-Hobby, Toy & Game Shops","11:20 ET",+36.60%,+61.18%,+62.88%,-6.25%,+39.18%,+50.87
BIP,"Brookfield Infrastructure Partners LP",NYSE,63.455,"Utility - Electric Power","SIC-4400 Water Transportation","11:19 ET",+10.65%,+29.85%,+25.60%,+71.09%,+21.77%,+18.04
BOOT,"Boot Barn Holdings Inc",NYSE,92.05,"Retail - Apparel & Shoes","SIC-5661 Retail-Shoe Stores","11:31 ET",+55.38%,+5.67%,+291.86%,+4.96%,+22.75%,+17.57
BTU,"Peabody Energy Corp",NYSE,24.39,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:34 ET",+86.24%,+15.17%,"+2,382.61%",+19.30%,+85.55%,+156.24
CCB,"Coastal Financial Corp",NASDAQ,41.44,"Banks - West","SIC-6022 State Commercial Banks","11:10 ET",+54.51%,+56.14%,+62.14%,+119.17%,+43.50%,+29.31
CEIX,"Consol Energy Inc",NYSE,47.17,Coal,"SIC-1220 Bituminous","11:34 ET",+222.55%,+23.23%,+20.71%,+46.65%,+21.55%,+240.79
CHK,"Chesapeake Energy Corp",NASDAQ,84.21,"Other Alt Energy","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+246.74%,+11.50%,+45.96%,+56.65%,+206.18%,+81.13
CINF,"Cincinnati Financial",NASDAQ,134.17,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","11:33 ET",+86.16%,+27.79%,+30.50%,+65.54%,+21.47%,+20.57
CIVI,"Civitas Resources Inc",NYSE,58.51,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:32 ET",+168.72%,+326.71%,+42.84%,+141.63%,+345.35%,+59.30
CLR,"Continental Resources",NYSE,56.66,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+43.65%,+121.12%,+45.63%,+59.28%,+22.32%,+87.69
CMRE,"Costamare Inc",NYSE,13.39,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:34 ET",+31.30%,+72.41%,+54.93%,+71.87%,+27.96%,+18.77
CNP,"Centerpoint Energy Inc",NYSE,31.44,"Utility - Electric Power","SIC-4911 Electric Services","11:34 ET",+32.30%,+12.59%,+103.99%,+48.79%,+12.78%,+30.45
CNQ,"Canadian Natural Resources",NYSE,60.77,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+19.58%,+90.18%,+48.90%,+74.00%,+21.95%,+101.00
COP,Conocophillips,NYSE,94.04,"Oil - US Integrated","SIC-2911 Petroleum Refining","11:35 ET",+37.42%,+151.09%,+52.73%,+75.77%,+52.12%,+77.73
CPE,"Callon Petroleum Company",NYSE,51.73,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+25.27%,+97.94%,+60.27%,+94.03%,+162.41%,+23.68
CPLP,"Capital Product Part",NASDAQ,15.35,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:12 ET",+47.39%,+31.09%,+48.37%,+78.38%,+24.49%,+15.85
CSR,Centerspace,NYSE,95.38,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","11:29 ET",+15.04%,+13.33%,+49.10%,+84.36%,+48.08%,+22.93
CTRA,"Coterra Energy Inc",NYSE,28.79,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:35 ET",+405.05%,+135.17%,+133.26%,+52.23%,+429.76%,+81.67
CYXT,"Cyxtera Technologies Inc",NASDAQ,12.57,"Technology Services","SIC-7370 Services-Computer Programming, Data Processi","11:31 ET",+197.35%,0.00%,"+3,125.00%",+169.57%,"+12,018.00%",+27.83
DMLP,"Dorchester Minerals",NASDAQ,27.28,"Oil - US Royalty Trusts","SIC-1311 Crude Petroleum & Natural Gas","11:19 ET",+26.41%,+99.06%,+48.15%,+68.24%,+68.41%,+89.97
DVN,"Devon Energy Corp",NYSE,57.99,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+31.59%,+152.82%,+49.22%,+94.84%,+211.33%,+138.38
EDRY,"Eurodry Ltd",NASDAQ,36.925,"Transportation - Ship","SIC-4400 Water Transportation","11:17 ET",+14.70%,+189.10%,+63.63%,+140.16%,+128.09%,+93.59
EQNR,"Equinor ASA ADR",NYSE,34.67,"Other Alt Energy","SIC-2911 Petroleum Refining","11:35 ET",+40.34%,+98.45%,+39.44%,+63.66%,+15.14%,+72.00
ERF,"Enerplus Corp",NYSE,12.16,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+40.39%,+91.29%,+89.97%,+124.54%,+52.37%,+110.76
ESTE,"Earthstone Energy",NYSE,13.62,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+30.48%,+190.37%,+56.72%,+57.65%,+28.29%,+63.14
ET,"Energy Transfer LP",NYSE,11.29,"Oil Gas Prod Pipeline MLP","SIC-4922 Natural Gas Transmission","11:35 ET",+11.96%,+73.07%,+18.45%,+31.61%,+25.35%,+30.15
FDUS,"Fidus Investment Cor",NASDAQ,20.42,"Finance - SBIC & Commercial","SIC-6282 Investment Advice","11:32 ET",+13.52%,+6.26%,+69.82%,+124.96%,+18.75%,+25.18
GNK,"Genco Shipping & Trading Ltd",NYSE,22.48,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:33 ET",+18.05%,+53.88%,+71.21%,+115.81%,+23.05%,+54.20
GPOR,"Gulfport Energy Corp",NYSE,94.4,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+418.55%,-6.66%,+38.11%,+59.98%,+282.86%,+54.32
GSL,"Global Ship Lease Inc",NYSE,21.82,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:34 ET",+10.80%,+58.39%,+155.59%,+76.20%,+53.32%,+27.69
H,"Hyatt Hotels Corp",NYSE,96.02,"Hotels & Motels","SIC-7011 Hotels & Motels","11:33 ET",+26.44%,+46.56%,+50.72%,+460.34%,+10.95%,+19.96
HCC,"Warrior Met Coal Inc",NYSE,34.49,Coal,,"11:34 ET",+105.24%,+35.32%,+98.80%,+55.25%,+20.23%,+106.90
HES,"Hess Corp",NYSE,102.51,"Oil - US Integrated","SIC-2911 Petroleum Refining","11:35 ET",+24.52%,+57.85%,+45.15%,+44.69%,+10.91%,+39.31
HPK,"Highpeak Energy Inc",NASDAQ,29.88,"Oil - US Exploration & Product","SIC-1381 Drilling Oil & Gas Wells","11:32 ET",+107.84%,+794.07%,+67.56%,+85.58%,+16.62%,+160.68
