Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
AAC,"Ares Acquisition Corp Cl A",NYSE,9.85,Unclassified,"SIC-6770 Blank Checks","10:41 ET",Buy,198956,-0.45%,9.83,9.79,9.77,1230000000
AAQC,"Accelerate Acquisition Corp Cl A",NYSE,9.78,Unclassified,"SIC-6770 Blank Checks","09:41 ET",Buy,133046,-1.81%,9.77,9.74,9.73,489000000
ACC,"American Campus Communities Inc",NYSE,64.75,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,5022162,-0.40%,60.15,56.47,55.21,9018079000
ACQR,"Independence Holdings Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,69025,-3.44%,9.8,9.77,9.75,532273000
ACT,"Enact Holdings Inc",NASDAQ,23.84,"Insurance - Multi Line","SIC-6411 Insurance Agents, Brokers & Service","11:32 ET",Buy,95538,-5.38%,22.53,21.86,21.55,3808851000
ADER,"26 Capital Acquisition Corp Cl A",NASDAQ,9.88,Unclassified,"SIC-6770 Blank Checks",2022-04-26,Buy,28555,-0.45%,9.87,9.86,9.85,339404000
ADMA,"Adma Biologics",NASDAQ,1.87,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","11:32 ET",Buy,2393686,-11.11%,2.0005,1.786,1.5955,387922000
ALCO,"Alico Inc",NASDAQ,39.94,"Agriculture Operations","SIC-0100 Agricultural Production - Crops","11:29 ET",Buy,71274,-8.82%,39.4,36.12,35.94,300458000
ALKS,"Alkermes Plc",NASDAQ,29.43,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:31 ET",Buy,1598976,-9.76%,28.8,26.65,25.23,4961723000
ALTU,"Altitude Acquisition Corp Cl A",NASDAQ,9.97,Unclassified,"SIC-6770 Blank Checks","11:18 ET",Buy,120232,-1.87%,9.96,9.94,9.91,373875000
AMAL,"Amalgamated Financial Corp",NASDAQ,17.87,"Finance - SBIC & Commercial",,"11:32 ET",Buy,40815,-11.51%,17.74,17.49,17.1,539845000
AMR,"Alpha Metallurgical Resources Inc",NYSE,152.56,"Mining - Misc","SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",Buy,574423,-8.13%,138.94,123.57,93.6,2858650000
ANAC,"Arctos Northstar Acquisition Corp Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks","09:39 ET",Buy,71195,-3.73%,9.81,9.77,9.76,388194000
ANZU,"Anzu Special Acquisition Corp I Cl A",NASDAQ,9.83,Unclassified,"SIC-6770 Blank Checks","08:54 ET",Buy,34242,-1.70%,9.8,9.76,9.75,521638000
APGB,"Apollo Strategic Growth Capital II Cl A",NYSE,9.8199,Unclassified,"SIC-6770 Blank Checks","10:25 ET",Buy,141771,-1.11%,9.81,9.78,9.76,845250000
APSG,"Apollo Strategic Growth Capital Cl A",NYSE,9.98,"Transportation - Services","SIC-4700 Transportation Services","11:15 ET",Buy,1129199,-0.40%,9.97,9.93,9.91,1018968000
ARCH,"Arch Resources Inc",NYSE,173.96,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",Buy,1131454,-1.13%,151.12,142.64,118.92,2648424000
ARIS,"Aris Water Solutions Inc Cl A",NYSE,17.5,"Waste Removal Svcs",,"11:31 ET",Buy,182682,-11.71%,17.92,17.09,14.75,933620000
