Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"20D MA","50D MA","50D Avg Vol","52W %/High","20D Avg Vol","Prev Vol"
APSG,"Apollo Strategic Growth Capital Cl A",NYSE,9.98,"Transportation - Services","SIC-4700 Transportation Services","11:15 ET",9.97,9.93,732796,-0.40%,1129199,134200
ATRS,"Antares Pharma",NASDAQ,5.57,"Medical - Dental Suppliers","SIC-3841 Surgical & Medical Instruments & Apparatus","11:31 ET",4.84,4.21,4808636,-0.45%,10685614,6965200
BMY,"Bristol-Myers Squibb Company",NYSE,76.54,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:32 ET",76.02,72.2,14805079,-2.23%,13786378,12603700
CDK,"Cdk Global Inc",NASDAQ,54.4,"IT Services","SIC-7389 Services-Business Services, NEC","11:30 ET",53.07,49.16,2008433,-1.25%,3726144,2166900
CHNG,"Change Healthcare Inc",NASDAQ,23.52,"Medical Information Systems","SIC-7374 Services-Computer Processing & Data Preparat","11:31 ET",23.39,22.14,2761254,-1.88%,3437365,2600700
CNR,"Cornerstone Building Brands Inc",NYSE,24.4,"Building - CMT & CNT & AG","SIC-3448 Prefabricated Metal Buildings & Components","11:29 ET",24.37,23.72,3178012,-0.22%,1794245,1680500
CVBF,"Cvb Financial Corp",NASDAQ,23.41,"Banks - West","SIC-6022 State Commercial Banks","11:32 ET",23.21,23.37,1076416,-3.53%,989726,840800
CVII,"Churchill Capital Corp Vii Cl A",NYSE,9.8,Unclassified,"SIC-6770 Blank Checks","10:49 ET",9.79,9.76,334034,-1.71%,411441,232300
DRH,"Diamondrock Hospitality Company",NYSE,10.6,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:32 ET",10,9.86,2222673,-4.82%,2166522,1754100
HII,"Huntington Ingalls Industries",NYSE,219.35,"Aerospace - Defense","SIC-3730 Ship & Boat Building & Repairing","11:30 ET",213.29,205.89,497418,-4.48%,387174,286300
HRB,"H&R Block",NYSE,27.16,"Consumer Services - Misc","SIC-7200 Services-Personal Services","11:31 ET",27.04,26,2226691,-4.35%,1783334,1581200
MKC,"Mccormick & Company",NYSE,102.02,"Food - Misc & Diversified","SIC-2090 Miscellaneous Food Preparations & Kindred Pr","11:32 ET",102.03,99.35,1355525,-4.85%,1138817,995100
MRK,"Merck & Company",NYSE,88,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","11:32 ET",85.42,81.02,10818929,-4.31%,11106916,10781301
MSP,"Datto Holding Corp",NYSE,34.65,"Internet - Software","SIC-7372 Services-Prepackaged Software","11:32 ET",32.29,27.69,1459402,-0.50%,3014595,1963400
PG,"Procter & Gamble Company",NYSE,161.31,"Soap and Cleaning Products","SIC-2840 Soap, Detergents, Cleaning Preparations, Per","11:32 ET",158.77,155.05,7499478,-2.73%,7089719,6754900
POST,"Post Holdings Inc",NYSE,75.77,"Food - Misc & Diversified","SIC-2040 Grain Mill Products","11:31 ET",73.87,70.55,639026,-3.90%,443286,325000
SJM,"J.M. Smucker Company",NYSE,140.12,"Food - Misc & Diversified","SIC-2033 Canned, Fruits, Veg, Preserves, Jams & Jelli","11:31 ET",139.42,135.34,832281,-4.01%,639636,618700
SLVM,"Sylvamo Corp",NYSE,41.71,"Paper & Related Products","SIC-2621 Paper Mills","11:32 ET",37.3,35.8,486941,-2.22%,392769,190900
SRRA,"Sierra Oncology Inc",NASDAQ,54.56,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","11:28 ET",46.55,37.97,639663,-0.76%,1188644,1096600
SYY,"Sysco Corp",NYSE,87.62,"Food - Misc & Diversified","SIC-5140 Wholesale-Groceries & Related Products","11:32 ET",85.91,83.68,2448532,-4.40%,2220064,2116800
TUFN,"Tufin Software Technologies Ltd",NYSE,12.9,"Technology Services","SIC-7373 Services-Computer Integrated Systems Design","11:32 ET",12.13,10.13,866113,-4.44%,1204528,514200
VRNT,"Verint Systems Inc",NASDAQ,54.58,"Computer - Software","SIC-7373 Services-Computer Integrated Systems Design","11:32 ET",52.96,51.33,459952,-3.92%,529356,501400
"Downloaded from Barchart.com as of 04-28-2022 10:32am CDT"
