Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
BRK.A,"Berkshire Hathaway Cl A",NYSE,479428.625,"Insurance - Proprty & Casualty",N/A,"12:18 ET"
NVR,"NVR Inc",NYSE,4395.17,"Building - Residential & Comm","SIC-1531 Operative Builders","12:30 ET"
AMZN,"Amazon.com Inc",NASDAQ,2432.96,"Internet Commerce","SIC-5961 Retail-Catalog & Mail-Order Houses","12:33 ET"
GOOG,"Alphabet Cl C",NASDAQ,2318.89,"Internet - Services","SIC-7370 Services-Computer Programming, Data Processi","12:32 ET"
GOOGL,"Alphabet Cl A",NASDAQ,2302.98,"Internet - Services","SIC-7370 Services-Computer Programming, Data Processi","12:32 ET"
BKNG,"Booking Holdings Inc",NASDAQ,2155.21,"Internet Commerce","SIC-4700 Transportation Services","12:32 ET"
AZO,Autozone,NYSE,1986.6,"Retail - Wholesale Auto Parts","SIC-5531 Retail-Auto & Home Supply Stores","12:32 ET"
CMG,"Chipotle Mexican Grill",NYSE,1436.23,"Retail - Restaurants","SIC-5812 Retail-Eating Places","12:31 ET"
MKL,"Markel Corp",NYSE,1349.44,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:30 ET"
TPL,"Texas Pacific Land Trust",NYSE,1325.75,"Other Alt Energy","SIC-6792 Oil Royalty Traders","12:31 ET"
MTD,"Mettler-Toledo International",NYSE,1283.81,"Industrial Scientific","SIC-3826 Laboratory Analytical Instruments","12:32 ET"
CABO,"Cable One Inc",NYSE,1160.22,"Cable TV","SIC-4841 Cable & Other Pay Television Services","12:32 ET"
WTM,"White Mountains Insurance Group",NYSE,1048.98,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:16 ET"
MELI,"Mercadolibre Inc",NASDAQ,992.74,"Internet Commerce","SIC-7389 Services-Business Services, NEC","12:32 ET"
TSLA,"Tesla Inc",NASDAQ,876,"Auto - Domestic","SIC-3711 Motor Vehicles & Passenger Car Bodies","12:33 ET"
Y,"Alleghany Corp",NYSE,837.74,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:21 ET"
EQIX,"Equinix Inc",NASDAQ,705.63,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","12:32 ET"
BH.A,"Biglari Holdings Inc Cl A",NYSE,697.5,"Retail - Restaurants",N/A,2022-05-02
REGN,"Regeneron Pharmaceuticals",NASDAQ,649.09,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","12:31 ET"
ATRI,"Atrion Corp",NASDAQ,644.4,"Medical - Dental Suppliers","SIC-3841 Surgical & Medical Instruments & Apparatus","10:49 ET"
