Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"Sales %(q)","Sales %(a)","Cash Flow %(q)","Cash Flow %(q-1)","Shareholders Equity %(a)","Wtd Alpha"
ADM,"Archer Daniels Midland",NYSE,90.11,"Agriculture Operations","SIC-2070 Fats & Oils","10:35 ET",+13.52%,+32.47%,+12.68%,+94.65%,+12.42%,+44.76
AMR,"Alpha Metallurgical Resources Inc",NYSE,152.26,"Mining - Misc","SIC-1221 Bituminous Coal & Lignite Mining","10:32 ET",+27.65%,+59.48%,+147.90%,+377.29%,+173.32%,+810.23
ANET,"Arista Networks Inc",NYSE,117.24,"Communications Components","SIC-3576 Computer Communications Equipment","10:35 ET",+10.12%,+27.21%,+28.49%,+52.62%,+19.83%,+21.82
ARCH,"Arch Resources Inc",NYSE,165.56,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","10:34 ET",+35.55%,+50.45%,+160.19%,+250.75%,+141.17%,+167.54
ARLP,"Alliance Resource Pt",NASDAQ,17.49,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","10:31 ET",+13.97%,+18.21%,+36.73%,+96.55%,+14.34%,+180.68
ASR,"Grupo Aeroportuario Del Sureste ADR",NYSE,220.57,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","10:29 ET",+35.07%,+56.41%,+179.53%,-4.36%,+15.40%,+25.46
AZN,"Astrazeneca Plc ADR",NASDAQ,66.35,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","10:35 ET",+21.74%,+40.58%,+31.20%,+60.83%,+151.23%,+23.81
BBW,"Build-A-Bear Workshop",NYSE,18.55,"Retail - Misc & Diversified","SIC-5945 Retail-Hobby, Toy & Game Shops","10:32 ET",+36.60%,+61.18%,+62.88%,-6.25%,+39.18%,+51.81
BTU,"Peabody Energy Corp",NYSE,21.71,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","10:35 ET",+86.24%,+15.17%,"+2,382.61%",+19.30%,+85.55%,+103.83
CCB,"Coastal Financial Corp",NASDAQ,41.19,"Banks - West","SIC-6022 State Commercial Banks","10:16 ET",+54.51%,+56.14%,+62.14%,+119.17%,+43.50%,+29.07
CEIX,"Consol Energy Inc",NYSE,46.46,Coal,"SIC-1220 Bituminous","10:35 ET",+222.55%,+23.23%,+20.71%,+46.65%,+21.55%,+183.70
CHK,"Chesapeake Energy Corp",NASDAQ,83.28,"Other Alt Energy","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+246.74%,+11.50%,+45.96%,+56.65%,+206.18%,+66.31
CIVI,"Civitas Resources Inc",NYSE,58.62,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+168.72%,+326.71%,+42.84%,+141.63%,+345.35%,+43.48
CLR,"Continental Resources",NYSE,55.99,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+43.65%,+121.12%,+45.63%,+59.28%,+22.32%,+69.52
CNP,"Centerpoint Energy Inc",NYSE,30.7,"Utility - Electric Power","SIC-4911 Electric Services","10:35 ET",+32.30%,+12.59%,+103.99%,+48.79%,+12.78%,+26.13
CNQ,"Canadian Natural Resources",NYSE,61.06,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+19.58%,+90.18%,+48.90%,+74.00%,+21.95%,+85.20
COP,Conocophillips,NYSE,94.75,"Oil - US Integrated","SIC-2911 Petroleum Refining","10:35 ET",+37.42%,+151.09%,+52.73%,+75.77%,+52.12%,+64.80
CTRA,"Coterra Energy Inc",NYSE,28.91,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+405.05%,+135.17%,+133.26%,+52.23%,+429.76%,+75.46
CYXT,"Cyxtera Technologies Inc",NASDAQ,11.86,"Technology Services","SIC-7370 Services-Computer Programming, Data Processi","10:20 ET",+197.35%,0.00%,"+3,125.00%",+169.57%,"+12,018.00%",+20.94
DMLP,"Dorchester Minerals",NASDAQ,25.56,"Oil - US Royalty Trusts","SIC-1311 Crude Petroleum & Natural Gas","10:12 ET",+26.41%,+99.06%,+48.15%,+68.24%,+68.41%,+71.04
DVN,"Devon Energy Corp",NYSE,58.19,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+31.59%,+152.82%,+49.22%,+94.84%,+211.33%,+118.55
EDRY,"Eurodry Ltd",NASDAQ,35.7,"Transportation - Ship","SIC-4400 Water Transportation","10:17 ET",+14.70%,+189.10%,+63.63%,+140.16%,+128.09%,+66.31
EQNR,"Equinor ASA ADR",NYSE,33.63,"Other Alt Energy","SIC-2911 Petroleum Refining","10:35 ET",+40.34%,+98.45%,+39.44%,+63.66%,+15.14%,+55.06
ERF,"Enerplus Corp",NYSE,12.07,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:35 ET",+40.39%,+91.29%,+89.97%,+124.54%,+52.37%,+91.06
ESTE,"Earthstone Energy",NYSE,13.73,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:29 ET",+30.48%,+190.37%,+56.72%,+57.65%,+28.29%,+45.81
ET,"Energy Transfer LP",NYSE,11.15,"Oil Gas Prod Pipeline MLP","SIC-4922 Natural Gas Transmission","10:35 ET",+11.96%,+73.07%,+18.45%,+31.61%,+25.35%,+17.43
FDUS,"Fidus Investment Cor",NASDAQ,20.04,"Finance - SBIC & Commercial","SIC-6282 Investment Advice","10:23 ET",+13.52%,+6.26%,+69.82%,+124.96%,+18.75%,+16.05
GNK,"Genco Shipping & Trading Ltd",NYSE,22.14,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:34 ET",+18.05%,+53.88%,+71.21%,+115.81%,+23.05%,+37.55
GPOR,"Gulfport Energy Corp",NYSE,95.37,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:31 ET",+418.55%,-6.66%,+38.11%,+59.98%,+282.86%,+55.75
GSL,"Global Ship Lease Inc",NYSE,22.43,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:34 ET",+10.80%,+58.39%,+155.59%,+76.20%,+53.32%,+21.74
H,"Hyatt Hotels Corp",NYSE,94.31,"Hotels & Motels","SIC-7011 Hotels & Motels","10:35 ET",+26.44%,+46.56%,+50.72%,+460.34%,+10.95%,+19.48
HCC,"Warrior Met Coal Inc",NYSE,33.52,Coal,,"10:35 ET",+105.24%,+35.32%,+98.80%,+55.25%,+20.23%,+95.31
HES,"Hess Corp",NYSE,102.54,"Oil - US Integrated","SIC-2911 Petroleum Refining","10:35 ET",+24.52%,+57.85%,+45.15%,+44.69%,+10.91%,+30.62
HPK,"Highpeak Energy Inc",NASDAQ,29,"Oil - US Exploration & Product","SIC-1381 Drilling Oil & Gas Wells","10:35 ET",+107.84%,+794.07%,+67.56%,+85.58%,+16.62%,+169.47
HRMY,"Harmony Biosciences Holdings Inc",NASDAQ,45.2,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","10:35 ET",+12.98%,+91.21%,+61.52%,+99.41%,+91.92%,+58.69
