Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
AAC,"Ares Acquisition Corp Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks","10:00 ET",Buy,192756,-0.66%,9.83,9.79,9.77,1227500000
AAQC,"Accelerate Acquisition Corp Cl A",NYSE,9.78,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,131645,-1.81%,9.77,9.74,9.73,489000000
ACC,"American Campus Communities Inc",NYSE,64.62,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","10:34 ET",Buy,5674766,-0.61%,60.94,57.02,55.43,9013898000
ACQR,"Independence Holdings Corp Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks","10:17 ET",Buy,51105,-3.44%,9.81,9.77,9.75,532815000
ACT,"Enact Holdings Inc",NASDAQ,23,"Insurance - Multi Line","SIC-6411 Insurance Agents, Brokers & Service","10:17 ET",Buy,109423,-8.61%,22.62,21.89,21.59,3839791000
ADER,"26 Capital Acquisition Corp Cl A",NASDAQ,9.87,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,29080,-0.50%,9.87,9.86,9.85,339232000
AGAC,"African Gold Acquisition Corp Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks","09:53 ET",Buy,29924,-0.51%,9.81,9.77,9.75,507409000
ALKS,"Alkermes Plc",NASDAQ,29.32,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","10:34 ET",Buy,1658566,-11.64%,28.98,26.77,25.36,4711840000
ALTU,"Altitude Acquisition Corp Cl A",NASDAQ,9.97,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,121462,-1.87%,9.97,9.94,9.91,373875000
AMAL,"Amalgamated Financial Corp",NASDAQ,18,"Finance - SBIC & Commercial",,"10:03 ET",Buy,48013,-9.95%,17.75,17.51,17.13,547313000
