Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"20D Rel Str","5D Avg Vol"
ACC,"American Campus Communities Inc",NYSE,64.62,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","10:32 ET",74.21%,6324284
AHRN,"Ahren Acquisition Corp Cl A",NASDAQ,9.96,Unclassified,N/A,2022-04-28,73.87%,474720
ASC,"Ardmore Shipping Corp",NYSE,6.48,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:28 ET",72.07%,391675
ATRS,"Antares Pharma",NASDAQ,5.57,"Medical - Dental Suppliers","SIC-3841 Surgical & Medical Instruments & Apparatus","10:31 ET",77.13%,5706391
BKEP,"Blueknight Energy LP",NASDAQ,4.5553,"Oil - Field Services","SIC-4610 Pipe Lines (No Natural Gas)","10:18 ET",79.73%,479233
BNNR,"Banner Acquisition Corp Cl A",NASDAQ,9.87,Unclassified,N/A,"09:32 ET",76.55%,76220
BON,"Bon Natural Life Ltd",NASDAQ,5.59,"Consumer Prdts - Misc Discr","SIC-2833 Medicinal Chemicals & Botanical Products","10:17 ET",70.40%,56219
CDK,"Cdk Global Inc",NASDAQ,54.39,"IT Services","SIC-7389 Services-Business Services, NEC","10:32 ET",71.09%,2053912
CMPI,"Checkmate Pharmaceuticals Inc",NASDAQ,10.37,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","10:24 ET",88.40%,270989
CYN,"Cyngn Inc",NASDAQ,5.03,"Auto - Truck Original Parts","SIC-7371 Services-Computer Programming Services","10:32 ET",82.74%,32417137
ECOL,"US Ecology Inc",NASDAQ,47.99,"Waste Removal Svcs","SIC-4953 Refuse Systems",2022-04-29,72.75%,1199040
EDTX,"Edtechx Holdings Acquisition Corp II Cl A",NASDAQ,10.12,Unclassified,"SIC-6770 Blank Checks",2022-04-29,70.23%,297000
EMLD,"Ftac Emerald Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,N/A,2022-04-28,74.28%,154680
GTYH,"Gty Technology Holdings Inc",NASDAQ,6.05,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat","10:32 ET",73.84%,3920196
HCDI,"Harbor Custom Development Inc",NASDAQ,3.12,"Real Estate Developers","SIC-1531 Operative Builders","10:32 ET",71.81%,1918921
IIN,"Intricon Corp",NASDAQ,23.99,"Electronics - Misc Components","SIC-3670 Electronic Components & Accessories","10:17 ET",70.94%,66890
MSP,"Datto Holding Corp",NYSE,34.78,"Internet - Software","SIC-7372 Services-Prepackaged Software","10:31 ET",78.59%,1049194
NTUS,"Natus Medical Inc",NASDAQ,33.36,"Medical Instruments","SIC-3845 Electromedical & Electrotherapeutic Apparatu","10:31 ET",72.81%,552100
PPIH,"Perma-Pipe International Holdings Inc",NASDAQ,11.694,"Steel - Pipe & Tube","SIC-3564 Industrial & Commercial Fans & Blowers & Air","10:05 ET",75.57%,51237
RCMT,"R C M Tech Inc",NASDAQ,17.37,Staffing,"SIC-7363 Services-Help Supply Services","10:31 ET",73.25%,562890
RDBX,"Redbox Entertainment Inc",NASDAQ,8.7,"Media Conglomerates",N/A,"10:33 ET",80.66%,34155863
SAIL,"Sailpoint Technologies Holdings Inc",NYSE,63.8,"Technology Services","SIC-7372 Services-Prepackaged Software","10:33 ET",74.27%,7670616
SHCA,"Spindletop Health Acquisition Corp Cl A",NASDAQ,10,Unclassified,N/A,2022-04-29,70.08%,234320
SLVM,"Sylvamo Corp",NYSE,45.09,"Paper & Related Products","SIC-2621 Paper Mills","10:28 ET",70.99%,216548
SRRA,"Sierra Oncology Inc",NASDAQ,54.53,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","10:32 ET",79.43%,520262
STNG,"Scorpio Tankers Inc",NYSE,25.61,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:32 ET",71.77%,1305728
TUFN,"Tufin Software Technologies Ltd",NYSE,12.84,"Technology Services","SIC-7373 Services-Computer Integrated Systems Design","10:27 ET",70.61%,757745
"Downloaded from Barchart.com as of 05-02-2022 09:33am CDT"
