Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ALOR,"Alsp Orchid Acquisition Corp I",10.02,0.01,+0.10%,10.02,10.02,201900,2022-04-29
AOGO,"Arogo Capital Acquisition Corp Cl A",9.99,0.02,+0.20%,9.99,9.96,93900,2022-04-29
ARBG,"Aequi Acquisition Corp",9.86,0.01,+0.10%,9.87,9.85,18100,2022-04-29
BRKH,"Burtech Acquisition Corp Cl A",9.94,0.01,+0.10%,9.94,9.93,648200,2022-04-29
BSKY,"Big Sky Growth Partners Cl A",9.77,0.01,+0.10%,9.77,9.76,208200,2022-04-28
FNVT,"Finnovate Acquisition Corp Cl A",9.98,0.02,+0.15%,10.5,9.95,181500,2022-04-29
FSNB,"Fusion Acquisition Corp II Cl A",9.8,0.01,+0.10%,9.8,9.79,203600,2022-04-29
HERA,"Ftac Hera Acquisition Corp Cl A",9.82,0.01,+0.10%,9.82,9.82,41793,"09:52 ET"
HHGC,"Hhg Capital Corp",10,0.01,+0.10%,10.01,10,128100,2022-04-28
HIGA,"H.I.G. Acquisition Corp Cl A",9.9,0.02,+0.15%,9.9,9.9,42861,"09:52 ET"
IBER,"Ibere Pharmaceuticals Cl A",9.82,0.01,+0.10%,9.84,9.82,17400,2022-04-29
INVZ,"Innoviz Technologies Ltd",4.42,0.38,+9.41%,4.68,4.27,18444331,"10:32 ET"
LCAA,"L Catterton Asia Acquisition Corp Cl A",9.81,0.01,+0.10%,9.81,9.8,1709900,2022-04-29
LGAC,"Lazard Growth Acquisition Corp I",9.82,0,0.00%,9.855,9.82,67147,"09:59 ET"
LGVC,"Lamf Global Ventures Corp I Cl A",9.96,0.02,+0.20%,9.96,9.95,337500,2022-04-28
MGP,"MGM Growth Properties Llc",41.64,1.26,+3.12%,42.28,40.33,3587200,2022-04-28
PVBC,"Provident Bancorp CS",15.96,0.040000000000001,+0.25%,16.25,15.43,41100,2022-05-02
SNRH,"Senior Connect Acquisition Corp I Cl A",9.86,0.02,+0.20%,9.86,9.86,42124,"09:30 ET"
SPTK,"Sportstek Acquisition Corp Cl A",9.8,0.01,+0.10%,9.8,9.79,104000,2022-04-29
STRT,"Strattec Security",36.12,0.66999999999999,+1.89%,37.24,35.65,19803,"10:11 ET"
"Downloaded from Barchart.com as of 05-02-2022 09:32am CDT"
